,sex
1216,0.110547654
10180,0.14846802
31752,0.11003626
17581,0.118923694
31033,0.14437425
25043,0.11160252
23995,0.13839701
31300,0.1154409
12980,0.24193451
8019,0.12498066
18938,0.11066609
1704,0.11302487
30455,0.113108754
7763,0.14107667
29003,0.11813563
16094,0.16887411
16638,0.13804679
7247,0.16078918
20088,0.11172366
23990,0.11603626
28694,0.14528847
27489,0.15942714
6210,0.12152241
9347,0.11004139
14530,0.110037856
16174,0.20133355
6027,0.15588084
17523,0.11823753
21581,0.11534284
5125,0.112007484
16668,0.3364364
26619,0.15340166
2074,0.16957125
10127,0.11012319
19739,0.1191507
28371,0.11740188
8449,0.16371651
15411,0.13065998
11488,0.17115417
28425,0.20282952
9459,0.41834968
9390,0.16262813
12365,0.20768484
18430,0.12183722
16632,0.17747761
13405,0.55673033
11627,0.13399874
30498,0.14804435
2450,0.110683486
6793,0.40590838
1504,0.18273611
21867,0.27782738
21635,0.11180507
22198,0.11187047
766,0.18839654
30397,0.1658524
7224,0.14145118
19102,0.21186593
20380,0.12731758
15643,0.13691145
29471,0.119594425
20575,0.112178296
15918,0.14965303
41,0.1108093
27235,0.114155285
28511,0.119546264
12801,0.118557006
3213,0.37418935
22227,0.11499655
21618,0.11039696
25725,0.11020331
2923,0.1781549
16316,0.11237931
30870,0.15132831
13372,0.11005058
9760,0.12266904
12244,0.11060591
25252,0.18417543
18448,0.13057056
26198,0.11103599
27370,0.26311535
7686,0.18106169
30627,0.14061825
1943,0.13938077
30107,0.11168201
5955,0.11074017
25533,0.11229536
11418,0.12820773
20773,0.118940346
16114,0.11504467
27402,0.15009347
3519,0.14058392
7808,0.2861964
30198,0.13292654
4653,0.12211085
4490,0.117930315
10877,0.38062966
2126,0.12558502
16483,0.11684786
31038,0.14860998
5764,0.12992273
27657,0.117534794
8450,0.13393803
14117,0.13768406
353,0.112947315
17037,0.120204635
4953,0.1276003
21524,0.2333505
7546,0.12226168
9989,0.11036505
31043,0.11892948
31928,0.11820571
31665,0.11292521
3958,0.4722687
8482,0.11543978
20076,0.11535313
14384,0.16563119
22298,0.13663577
19328,0.299305
26011,0.18619058
28993,0.16778818
5923,0.13556564
21934,0.111484386
30488,0.13214138
25295,0.11201594
17592,0.11231252
4031,0.11004137
17859,0.23011547
29211,0.20881127
10365,0.12015456
28943,0.1185119
14458,0.2784208
15342,0.12714101
26231,0.3655637
2322,0.1101907
28819,0.118171714
24754,0.13572006
10311,0.19228218
6974,0.19983377
18835,0.20847607
3960,0.28847858
