,sex
1216,0.16206135
10180,0.124579474
31752,0.11265959
17581,0.18403487
31033,0.14235888
25043,0.14937164
23995,0.1688276
31300,0.12582321
12980,0.21601845
8019,0.14793237
18938,0.11575657
1704,0.11865647
30455,0.12275768
7763,0.13885349
29003,0.117434874
16094,0.15298265
16638,0.2661007
7247,0.11697656
20088,0.11207768
23990,0.18877281
28694,0.14426361
27489,0.13280664
6210,0.13906291
9347,0.11596678
14530,0.11229524
16174,0.15815285
6027,0.15160522
17523,0.16660699
21581,0.1829925
5125,0.1293813
16668,0.2816692
26619,0.11217458
2074,0.14778545
10127,0.14151093
19739,0.111915134
28371,0.1293338
8449,0.16635743
15411,0.11277418
11488,0.13549523
28425,0.20229273
9459,0.22587493
9390,0.14565806
12365,0.16636185
18430,0.20733306
16632,0.14185275
13405,0.67587364
11627,0.134161
30498,0.11025999
2450,0.11870048
6793,0.2088057
1504,0.2956606
21867,0.26007417
21635,0.1141135
22198,0.1364401
766,0.14788921
30397,0.110158674
7224,0.35915378
19102,0.18107454
20380,0.111127555
15643,0.12715603
29471,0.1628701
20575,0.11012194
15918,0.1676757
41,0.20845243
27235,0.14019361
28511,0.11593707
12801,0.16029854
3213,0.45370463
22227,0.11427159
21618,0.16427885
25725,0.14467515
2923,0.11604158
16316,0.12193697
30870,0.114736214
13372,0.11786578
9760,0.12979464
12244,0.110729255
25252,0.110461235
18448,0.11116879
26198,0.110762246
27370,0.18101096
7686,0.11361034
30627,0.1107321
1943,0.13677858
30107,0.11360312
5955,0.11175652
25533,0.12248805
11418,0.13591747
20773,0.14466979
16114,0.26010412
27402,0.13176072
3519,0.14952199
7808,0.13539034
30198,0.14111431
4653,0.14833762
4490,0.11473446
10877,0.3701662
2126,0.116303496
16483,0.113331735
31038,0.13603146
5764,0.12115263
27657,0.13322668
8450,0.12796794
14117,0.2527541
353,0.14106496
17037,0.13561364
4953,0.11593808
21524,0.21306092
7546,0.12287
9989,0.120979935
31043,0.111936636
31928,0.11396992
31665,0.13262378
3958,0.34922683
8482,0.12460377
20076,0.11406017
14384,0.15037572
22298,0.11553807
19328,0.17454457
26011,0.16789931
28993,0.11069651
5923,0.14390838
21934,0.16934133
30488,0.26486066
25295,0.11169605
17592,0.1653717
4031,0.12055342
17859,0.16809046
29211,0.31377238
10365,0.20718531
28943,0.11013848
14458,0.16744305
15342,0.16029854
26231,0.32522064
2322,0.11857324
28819,0.13389574
24754,0.110283524
10311,0.1343411
6974,0.14555156
18835,0.35313454
3960,0.3984107
3314,0.1433747
16572,0.113395736
32222,0.13333905
15297,0.21497115
24336,0.1136129
23515,0.12511963
8138,0.20810547
15498,0.11712735
13783,0.14870614
1077,0.188421
5857,0.2885192
6061,0.29714507
19016,0.12910445
15642,0.30144304
14222,0.13911656
16688,0.16477576
3489,0.15729612
5887,0.12376343
18633,0.15589927
15426,0.19417666
32516,0.110110104
9750,0.11723591
29112,0.11786196
32445,0.30074275
14074,0.15010007
7834,0.11921766
3204,0.18505062
30382,0.1119441
14066,0.11146854
21268,0.11012249
1491,0.15162656
18511,0.20804773
2814,0.15245044
13933,0.21211952
17819,0.110649996
6624,0.12121139
7072,0.11100225
7712,0.11280938
10670,0.13105142
12250,0.34517768
12230,0.1182035
5719,0.11024829
8192,0.19788444
7359,0.12104313
31047,0.14236355
15421,0.110173404
14825,0.11148847
15648,0.120212965
19571,0.16624056
20311,0.3092334
10114,0.1250191
27899,0.11766566
23251,0.14884372
30540,0.14637625
10650,0.11311527
15528,0.24324508
14652,0.1435016
1097,0.11612676
14463,0.15496719
27254,0.13772239
13326,0.11536993
8759,0.21417008
18567,0.2543712
32291,0.38717216
14283,0.110547066
27841,0.11108918
12432,0.17388998
9293,0.34501627
20679,0.11405907
31015,0.2241077
25428,0.12596057
26261,0.2806288
9115,0.11861832
23968,0.115045786
23127,0.11041087
18559,0.110401586
25692,0.112126514
25705,0.11637397
30135,0.11145398
3846,0.21808662
16419,0.11080177
