,sex
19749,0.028288936
27962,0.035227463
23077,0.027672617
12681,0.07793068
9144,0.035381123
26971,0.025601918
4907,0.03513788
13308,0.07906915
14737,0.04579323
13857,0.2976761
5116,0.029851945
16664,0.08871055
8648,0.026718576
10755,0.060813244
30845,0.07372534
30070,0.05728802
21612,0.028006556
31901,0.025715176
2215,0.036666512
19408,0.026412146
16293,0.02564674
16359,0.03732074
18998,0.034311887
11402,0.026597846
3437,0.025602158
1274,0.034410153
26754,0.028774722
31346,0.041193396
11783,0.03426648
12193,0.026260525
27061,0.027214896
7075,0.026670381
2273,0.031705894
3699,0.0268423
21875,0.025604272
14187,0.029463425
1329,0.028905444
28798,0.03554377
16592,0.026737455
1571,0.030081777
31742,0.025626056
3165,0.027243381
12669,0.077878796
29474,0.031141903
31794,0.036220692
7050,0.02675203
24652,0.0358313
16011,0.06138566
19098,0.025751725
26496,0.025619617
10217,0.08822248
2202,0.034490176
8265,0.028717073
27039,0.0477221
4660,0.06263238
6300,0.093396515
695,0.026065763
30957,0.039465453
29007,0.025601901
484,0.026207352
3733,0.03845249
28012,0.042296194
29015,0.03714572
28163,0.027394747
4834,0.057312615
27592,0.041715447
13531,0.026739277
15085,0.025700618
20464,0.027659427
4129,0.027754327
30159,0.0334426
2306,0.028407458
19047,0.026021829
803,0.025850927
27801,0.033539902
29819,0.049212962
19088,0.044876803
20005,0.030882768
29589,0.026199752
13480,0.027057087
3689,0.032443788
1061,0.032225568
14316,0.03177587
21224,0.02622618
6595,0.027114103
8229,0.028881129
28157,0.034622706
12821,0.04874515
7304,0.028303824
28349,0.037740707
2053,0.03160308
4936,0.026344577
10397,0.029710064
2545,0.02732828
27638,0.029393569
18527,0.026103908
101,0.06777983
21686,0.061041083
6384,0.039079048
24653,0.025606705
28328,0.028734017
2825,0.044758283
31321,0.041036367
31740,0.025624083
14653,0.053543005
24026,0.028885737
24531,0.06559058
20427,0.02773262
12138,0.0454136
27567,0.02566192
6084,0.04645178
6952,0.02784281
10018,0.030493595
2447,0.043852665
30918,0.060419545
4420,0.053521123
2733,0.042128056
12331,0.051386174
10090,0.15427768
17083,0.04713517
17384,0.025984993
26890,0.124994956
8008,0.045455225
829,0.026209088
20305,0.025845947
185,0.03321487
19887,0.053926013
21896,0.027591739
13377,0.040838648
29140,0.02691595
28939,0.026008302
12983,0.02910589
11326,0.025838204
6292,0.025827011
26731,0.098778926
21890,0.07323309
4574,0.029748185
24463,0.05808504
27216,0.025987912
26419,0.030778458
10132,0.037651595
20233,0.026226442
18109,0.029141448
20040,0.029237028
15769,0.029911349
13172,0.026941296
21948,0.031287905
30095,0.026117802
433,0.027373947
8365,0.04930779
604,0.025648007
19409,0.094688155
14411,0.026170673
31645,0.02869803
23264,0.027479805
4275,0.04378507
9322,0.033755742
3571,0.04964753
8452,0.028526876
32364,0.11386644
6670,0.027586982
17306,0.025648499
15984,0.027122496
25260,0.032249145
24782,0.052992094
1039,0.025654804
24674,0.060638003
11091,0.03171934
19764,0.027847761
27430,0.035591785
5331,0.031594034
18441,0.04081275
17556,0.033893883
31883,0.025633533
27940,0.027078373
540,0.028319784
16868,0.051763345
1749,0.032114062
8781,0.0394874
31590,0.027092542
20206,0.050692152
6664,0.034727346
29502,0.03607815
10157,0.026417913
21144,0.028190073
19034,0.052497122
16090,0.0266526
27187,0.031740088
26925,0.05728374
27747,0.04443401
20465,0.064094655
12093,0.07648321
4948,0.03287449
24491,0.049719006
11097,0.057515137
30232,0.025890758
24696,0.035826493
13199,0.026988352
20721,0.02560499
23000,0.025613816
22494,0.035337683
13413,0.04174574
9816,0.025778897
21784,0.032979716
14358,0.055521004
15607,0.035219323
123,0.027203709
1405,0.032556873
18447,0.04344371
18365,0.02584749
21601,0.041844796
1768,0.025798468
11809,0.03181225
18766,0.038313445
1452,0.027794454
13352,0.14577422
17187,0.0314541
9942,0.025850572
25473,0.027685964
2255,0.030175863
2806,0.025842488
2681,0.04094817
15971,0.033001598
17779,0.025839953
20585,0.05470566
31124,0.028149713
13466,0.033246234
12462,0.030087838
6700,0.05799658
28245,0.025729127
10063,0.08928832
20831,0.02571235
6077,0.20479123
19398,0.06323317
5856,0.02615608
7952,0.026683498
17489,0.025689323
6062,0.052179664
25261,0.028551128
21406,0.051416494
20363,0.053660806
20406,0.030134011
22091,0.031229246
3237,0.032081608
25679,0.026061134
30663,0.032108918
28672,0.03644189
11591,0.026122082
10990,0.027260091
23270,0.060743544
23920,0.026403898
15413,0.032351214
30202,0.03599094
6649,0.05473519
11081,0.025804166
28294,0.03414616
11685,0.047405563
2150,0.032660447
25973,0.04427797
30122,0.026375396
14575,0.02596562
28284,0.02769276
2380,0.044594172
16387,0.07611237
12350,0.027228178
8796,0.02772819
